imdb_title_id,title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt0120202,State and Main,2000,31/05/2002,"Comedy, Drama",105,"France, USA","English, Italian",David Mamet,David Mamet,Filmtown Entertainment,"Michael Higgins, Michael Bradshaw, Morris Lamore, Allen Soule, Clark Gregg, Rebecca Pidgeon, Ricky Jay, Julia Stiles, Matt Malloy, Charles Durning, Tony V., Tony Mamet, Jack Wallace, Michael James O'Boyle, Charlotte Potok",A movie crew invades a small town whose residents are all too ready to give up their values for showbiz glitz.,6.7,20220,NA,$ 6944471,$ 9206279,75,175,122
tt0120247,Surface to Air,1998,01/04/1998,"Action, War",93,USA,English,Rodney McDonald,"Tony Giglio, Rodney McDonald",Cabin Fever Entertainment,"Michael Madsen, Chad McQueen, Melanie Shatner, Teri Fruichantie, Larry Thomas, Herb Mitchell, Matthew R. Anderson, Beau Billingslea, Greg Collins, Ken Duncan, Judson Mills, Mathew St. Patrick, Michael Saad, James Black, Wil Bowers","Two brothers, one Navy and the other a Marine, travel to the Persian Gulf to sort out an Iraqi terrorist situation. When one brother is shot down behind enemy lines, the other defies orders...",3.6,266,NA,NA,NA,NA,8,4
tt0120255,The Sweet Hereafter,1997,31/10/1997,Drama,112,Canada,English,Atom Egoyan,"Russell Banks, Atom Egoyan",Alliance Communications Corporation,"Ian Holm, Caerthan Banks, Sarah Polley, Tom McCamus, Gabrielle Rose, Alberta Watson, Maury Chaykin, Stephanie Morgenstern, Kirsten Kieferle, Arsinée Khanjian, Earl Pastko, Simon Baker, David Hemblen, Bruce Greenwood, Sarah Rosen Fruitman","A bus crash in a small town brings a lawyer to the town to defend the families, but he discovers that everything is not what it seems.",7.5,31548,CAD 5000000,$ 3263585,$ 3263585,91,217,103
tt0120261,Szczesliwego Nowego Jorku,1997,26/09/1997,"Comedy, Drama",95,Poland,"Polish, English",Janusz Zaorski,"Edward Redlinski, Edward Redlinski",NA,"Boguslaw Linda, Zbigniew Zamachowski, Janusz Gajos, Cezary Pazura, Katarzyna Figura, Rafal Olbrychski, Dorota Chotecka, Grzegorz Herominski, Slawomir Pacek, Eugeniusz Priwieziencew, Malgorzata Rozniatowska, Danuta Stenka, Oscar Tevez, Ilja Zmiejew","The story of six Polish emigrants living in New York City, who try to live their American Dream and cope with the realities of the Big Apple.",6.1,664,NA,NA,NA,NA,1,NA
tt0120324,A Simple Plan,1998,18/06/1999,"Crime, Drama, Thriller",121,"UK, Germany, France, USA, Japan",English,Sam Raimi,"Scott B. Smith, Scott B. Smith",British Broadcasting Corporation (BBC),"Bill Paxton, Bridget Fonda, Billy Bob Thornton, Brent Briscoe, Jack Walsh, Chelcie Ross, Becky Ann Baker, Gary Cole, Bob Davis, Peter Syvertsen, Tom Carey, John Paxton, Marie Mathay, Paul Magers, Joan Steffand","Three blue-collar acquaintances come across millions of dollars in lost cash and make a plan to keep their find from the authorities, but it isn't long before complications and mistrust weave their way into the plan.",7.5,62089,$ 30000000,$ 16316273,$ 16316273,82,440,117
tt0120354,Topless Women Talk About Their Lives,1997,20/11/1997,"Drama, Comedy",87,New Zealand,"English, German",Harry Sinclair,Harry Sinclair,Filmwork,"Danielle Cormack, Joel Tobeck, Ian Hughes, Willa O'Neill, Shimpal Lelisi, Andrew Robertt, Frances Edmond, Josephine Davison, Oliver Driver, Breanna Barraclough, Rose McIver, Anita McNaught, Ian Mune, Kerre Woodham","Liz has missed an appointment to have an abortion. She has to keep her child, and neither her boyfriend Geoff nor child's father Neil are too happy about it. She can not decide which ...",6.4,352,NA,NA,NA,NA,5,9
tt0120363,Toy Story 2,1999,02/12/1999,"Animation, Adventure, Comedy",92,USA,"English, Arabic, Spanish","John Lasseter, Ash Brannon","John Lasseter, Pete Docter",Pixar Animation Studios,"Tom Hanks, Tim Allen, Joan Cusack, Kelsey Grammer, Don Rickles, Jim Varney, Wallace Shawn, John Ratzenberger, Annie Potts, Wayne Knight, John Morris, Laurie Metcalf, Estelle Harris, R. Lee Ermey, Jodi Benson","When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.",7.9,514519,$ 90000000,$ 245852179,$ 497374776,88,614,214
tt0120402,Ulee's Gold,1997,01/08/1997,Drama,113,USA,English,Victor Nunez,Victor Nunez,Clinica Estetico,"Peter Fonda, Patricia Richardson, Christine Dunford, Tom Wood, Jessica Biel, Vanessa Zima, Steven Flynn, Dewey Weber, J. Kenneth Campbell, Traber Burns, Ryan Marshall, Chad Fish, Will Sexton, Dale C. Marshall, James T. Whitehurst","A reclusive beekeeper slowly pulls his dysfunctional family back together, but not without having to fight his son's previous dastardly cohorts.",7,6668,$ 2700000,$ 9161691,$ 9161691,77,64,61
tt0120410,Under ytan,1997,21/11/1997,"Crime, Drama",103,Sweden,Swedish,Daniel Fridell,"Daniel Fridell, Jimmy Karlsson",Canal+,"Johanna Sällström, Tove Appelqvist, Mikael Persbrandt, Jens Hultén, Elisabeth von Gerber, Lennart Jähkel, Per Ragnar, Liam Norberg, Roxane von Gerber, Jenny Johansson, Göran Forsmark, Claes Ljungmark, Saga Sjöberg, Gustav Levin, Pia Bergendahl",23-year old Sandra has been doing drugs for many years and has realized that she is in need of some kind of treatment. At the clinic she is told that her pimp / boyfriend Roffe has turned ...,6.1,567,SEK 10500000,NA,NA,NA,NA,1
tt0120484,The Waterboy,1998,20/08/1999,"Comedy, Sport",90,USA,English,Frank Coraci,"Tim Herlihy, Adam Sandler",Robert Simonds Productions,"Adam Sandler, Kathy Bates, Henry Winkler, Fairuza Balk, Jerry Reed, Lawrence Gilliard Jr., Blake Clark, Peter Dante, Jonathan Loughran, Al Whiting, Clint Howard, Allen Covert, Rob Schneider, Todd Holland, Robert Kokol",A waterboy for a college football team discovers he has a unique tackling ability and becomes a member of the team.,6.1,145886,$ 23000000,$ 161491646,$ 185991646,41,335,90
tt0120512,Wild America,1997,02/07/1997,"Action, Adventure, Comedy",106,USA,English,William Dear,David Michael Wieger,Morgan Creek Entertainment,"Jonathan Taylor Thomas, Devon Sawa, Scott Bairstow, Frances Fisher, Jamey Sheridan, Tracey Walter, Don Stroud, Zack Ward, Claudia Stedelin, Anastasia Spivey, Leighanne Littrell, Amy Lee Douglas, Sonny Shroyer, Rachel Fowler, Jennifer Crumbley",Three brothers who are obsessed with animals are given permission from their parents to travel around America with a camera documenting wildlife.,6.4,6702,NA,$ 7342923,$ 7342923,NA,36,27
tt0120532,The Woodlanders,1997,06/02/1998,"Drama, Romance",98,UK,English,Phil Agland,"Thomas Hardy, David Rudkin",Arts Council of England,"Emily Woof, Rufus Sewell, Cal MacAninch, Tony Haygarth, Jodhi May, Polly Walker, Walter Sparrow, Sheila Burrell, Geoffrey Beevers, Robert Blythe, Jon Croft, Michael Culkin, Vincent Franklin, Joanna Jeffrees, Caroline John","The story is set in late 19th century rural corner of South England. The daughter of timber merchant Melbury, Grace, returns to the town after finishing school. Her father now believes she ...",6.4,634,NA,NA,NA,NA,13,5
tt0120576,Dance with Me,1998,14/05/1999,"Drama, Music, Romance",126,USA,English,Randa Haines,Daryl Matthews,Mandalay Entertainment,"Vanessa Williams, Chayanne, Kris Kristofferson, Joan Plowright, Jane Krakowski, Beth Grant, Harry Groener, William Marquez, Scott Paetty, Rick Valenzuela, Chaz Oswill, Liz Curtis, Bill Applebaum, Angelo Pagán, Victor Marcel","Rafael Infante (Chayanne) comes to Houston from Cuba to work at John Burnett's (Kris Kristofferson's) dance studio. He meets Ruby Sinclair (Vanessa Williams), a cute dance instructor there. Chemistry? Will John know he's Rafael's dad?",5.9,5757,NA,$ 15923122,$ 15923122,NA,65,22
tt0120577,54,1998,19/11/1999,"Drama, Music",93,USA,English,Mark Christopher,Mark Christopher,Dollface,"Ryan Phillippe, Salma Hayek, Neve Campbell, Mike Myers, Sela Ward, Breckin Meyer, Sherry Stringfield, Ellen Albertini Dow, Cameron Mathison, Noam Jenkins, Jay Goede, Patrick Taylor, Heather Matarazzo, Skipp Sudduth, Aemilia Robinson",The famous 1970s New York City nightclub seen and told through the eyes of a young employee.,5.9,31181,$ 13000000,$ 16757163,$ 16757163,33,196,69
tt0120586,American History X,1998,27/08/1999,Drama,119,USA,English,Tony Kaye,David McKenna,New Line Cinema,"Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien, Ethan Suplee, Fairuza Balk, Avery Brooks, Elliott Gould, Stacy Keach, William Russ, Guy Torry, Joe Cortese, Jason Bose Smith, Antonio David Lyons, Alex Sol",A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,8.5,1014218,$ 20000000,$ 6719864,$ 23875127,62,1594,174
tt0120587,Antz,1998,15/01/1999,"Animation, Adventure, Comedy",83,USA,English,"Eric Darnell, Tim Johnson","Todd Alcott, Chris Weitz",DreamWorks,"Woody Allen, Dan Aykroyd, Anne Bancroft, Jane Curtin, Danny Glover, Gene Hackman, Jennifer Lopez, John Mahoney, Paul Mazursky, Grant Shaud, Sylvester Stallone, Sharon Stone, Christopher Walken, Jim Cummings, Jerry Sroka",A rather neurotic ant tries to break from his totalitarian society while trying to win the affection of the princess he loves.,6.5,144455,$ 105000000,$ 90757863,$ 171757863,72,307,106
